Model Year,Uphill or Downhill,Related to Intersection,Clock-form Direction of force,Day in Week,Race,Maneuver before collision,year,Number of lanes,Body Category,Alignment of Road,Curb Weight,Age,Traffic Conrtol Functioning,weight,Pre-event Location,Lighting Condition,Climate,Traffic Condition,Traffic Flow Situation,premovement before collision,month,Alcohol Present,Surface Type,Crash Type,height,Sex,Surface Condition,Speed Limit,Distracted in Driving
2008,1,3,170,4,1,1,2009,2,3,1,2790,38,0,73,1,1,1,0,0,2,1,0,2,1,170,2,1,89,1
2003,1,2,350,7,1,1,2009,6,3,1,1250,65,2,61,1,3,1,1,0,1,2,0,2,4,163,2,1,56,1
2005,4,0,350,1,1,2,2009,2,0,1,1390,43,0,64,1,1,4,0,0,1,1,0,2,6,157,2,3,89,1
2005,2,3,30,5,1,1,2009,2,1,3,1630,49,0,102,1,1,1,0,0,11,1,0,2,4,180,1,1,89,1
2005,4,3,10,5,1,8,2009,2,0,3,1580,28,0,89,1,1,1,0,0,14,4,0,2,4,183,1,1,56,1
2006,1,2,0,4,1,1,2009,3,0,1,1380,25,2,57,1,1,8,1,0,1,4,0,2,1,155,2,1,72,2
2001,1,2,180,4,1,1,2009,3,3,1,1450,19,2,82,1,1,8,1,0,5,4,0,2,1,175,1,1,72,1
2001,2,2,350,4,1,9,2009,2,1,3,1870,44,0,52,1,3,1,0,0,14,4,0,2,4,150,2,1,72,1
2000,4,2,80,5,1,1,2009,2,0,1,1200,19,2,57,1,1,1,2,0,1,4,0,2,4,170,2,1,72,1
2005,1,3,80,1,1,1,2009,2,0,3,1610,21,0,79,1,1,2,0,0,14,5,0,2,4,173,1,2,56,1
2009,1,2,0,5,1,2,2009,2,0,2,1330,58,2,93,4,1,2,1,0,6,6,0,2,4,173,1,2,89,1
2005,2,2,70,6,1,1,2009,4,1,1,2050,18,2,86,1,3,8,1,2,11,6,0,2,4,180,1,1,89,1
2006,4,0,340,4,1,7,2009,2,2,3,1840,39,0,100,1,1,8,0,0,14,7,0,2,6,183,1,1,64,1
2002,1,2,340,1,1,7,2009,2,0,3,1620,59,2,122,1,1,8,2,0,14,8,0,2,2,168,1,1,89,1
2007,1,2,10,1,1,8,2009,2,1,1,2620,45,2,68,1,1,8,1,0,1,8,0,2,2,183,1,1,89,1
2005,4,2,170,7,1,1,2009,2,2,2,1940,43,0,79,1,1,1,0,0,5,8,0,2,1,185,1,1,72,1
2000,1,2,330,1,1,1,2009,4,3,1,2100,50,2,75,1,1,1,1,0,1,9,0,2,4,173,1,1,72,1
2007,2,2,70,3,1,3,2009,2,0,2,1470,24,0,73,6,1,8,0,0,14,9,0,2,6,188,1,1,89,2
2002,4,2,0,7,2,8,2009,3,0,3,1400,32,2,64,1,1,2,1,1,14,10,0,2,1,173,4,2,64,1
2008,1,2,330,7,1,2,2009,1,3,1,2360,45,2,91,1,2,2,1,1,1,10,0,2,4,157,2,2,72,1
2002,4,2,350,7,1,2,2009,2,1,3,1450,52,2,127,1,1,8,1,0,11,12,0,2,4,170,2,1,89,2
2002,1,2,70,7,1,1,2009,2,0,1,1410,18,2,70,1,1,8,1,0,1,12,0,2,4,178,1,1,72,1
2000,1,2,10,1,1,1,2009,2,2,1,1660,51,2,75,1,3,1,1,0,1,3,0,2,4,173,1,1,48,1
2006,1,1,330,7,1,2,2009,4,0,1,1490,25,0,84,2,5,8,0,2,16,3,0,1,5,188,1,1,80,1
2002,1,2,350,4,2,2,2009,2,0,1,1370,53,2,90,1,1,1,1,0,1,4,0,2,4,165,2,1,48,1
2006,1,2,340,3,3,2,2009,2,0,1,1230,36,2,68,1,1,1,1,0,1,3,0,2,4,165,2,1,48,1
2009,1,2,80,3,1,1,2009,5,0,1,1670,42,2,76,1,1,8,1,1,1,4,0,2,4,168,1,2,48,1
2001,1,2,20,6,2,1,2009,4,0,1,1450,58,2,94,2,1,1,1,0,11,4,0,2,4,178,1,1,48,1
2005,1,2,340,3,2,1,2009,2,0,1,1160,37,0,57,1,3,1,0,0,1,6,0,2,4,160,2,1,48,1
2003,1,2,300,4,1,1,2009,1,0,1,1500,25,2,75,1,1,1,1,3,11,8,0,2,4,173,1,1,48,1
2002,1,2,310,6,2,7,2009,2,2,1,1880,31,2,88,1,1,1,1,0,1,10,0,2,4,183,1,1,48,1
2001,1,2,10,6,2,6,2009,2,1,1,1970,27,2,95,1,1,1,1,0,1,10,0,2,4,175,1,1,48,1
2004,1,2,60,6,2,1,2009,4,0,1,1560,45,2,59,1,1,8,1,0,1,11,0,2,4,170,2,1,48,1
2008,1,2,320,3,1,1,2009,6,0,1,1750,21,2,84,1,3,1,1,1,1,12,0,2,4,170,1,1,48,1
2002,1,2,350,4,1,9,2009,3,2,1,1950,49,2,59,1,3,2,1,1,1,1,0,2,4,165,2,2,64,1
2008,4,2,350,4,1,2,2009,2,0,1,1900,58,0,109,1,1,1,0,0,1,1,0,2,4,185,1,1,40,1
2000,1,2,80,4,1,1,2009,2,0,1,1100,23,2,59,1,1,1,2,0,3,1,0,2,4,160,2,1,40,1
2008,1,2,330,5,1,2,2009,2,0,1,1470,26,0,70,1,3,1,0,0,1,1,0,2,4,163,2,1,40,1
2000,2,2,60,5,2,1,2009,2,0,1,1450,44,2,72,1,3,1,2,0,1,1,0,2,4,163,2,1,40,1
2008,1,2,70,4,1,1,2009,2,0,3,1330,81,2,82,1,1,1,2,0,14,2,0,2,4,170,1,1,40,1
2005,1,3,10,2,1,1,2009,2,0,1,1200,64,0,77,1,1,1,0,0,1,2,0,2,4,163,2,1,64,1
2004,1,2,340,5,1,2,2009,4,2,1,1980,37,2,77,1,1,1,1,1,1,2,0,2,4,165,2,1,80,1
2007,1,2,70,5,1,1,2009,4,0,1,1870,35,2,91,1,1,1,1,0,1,2,0,2,4,175,1,1,64,1
2006,1,2,20,4,1,6,2009,4,0,1,1440,30,2,84,1,1,1,1,0,1,2,0,2,4,175,1,1,56,1
2002,1,2,170,7,1,1,2009,6,0,1,1390,27,2,86,1,3,1,1,2,5,2,0,2,1,173,1,1,72,1
2003,1,2,280,1,1,2,2009,2,1,1,2320,44,0,75,1,1,1,0,0,1,2,0,2,4,191,1,1,40,1
2008,1,3,20,4,1,1,2009,2,0,1,1260,29,0,57,1,1,1,0,0,1,2,0,2,4,163,2,1,56,1
2001,1,2,350,7,1,9,2009,3,0,1,1470,23,2,59,1,1,8,1,0,1,2,0,2,4,175,1,1,64,1
2002,1,2,10,3,1,2,2009,2,0,1,1540,25,0,57,1,1,1,0,0,1,3,0,2,4,160,2,4,56,2
2006,1,2,350,6,1,2,2009,5,0,1,1080,19,2,59,1,1,1,1,0,1,3,0,2,4,155,2,1,72,1
2008,1,2,340,5,1,1,2009,2,0,1,1340,19,0,45,1,5,1,0,0,1,3,0,2,4,163,2,2,40,1
2001,4,2,10,3,2,6,2009,4,0,1,1400,19,2,91,1,3,1,1,0,1,3,0,2,4,165,2,1,56,1
2003,1,0,350,6,2,1,2009,2,0,1,1380,46,0,91,1,1,1,0,0,1,3,0,2,2,163,2,1,80,1
2005,1,2,20,4,1,2,2009,2,0,1,1360,18,0,82,1,3,8,0,0,1,4,0,2,4,183,1,2,72,1
2004,1,2,310,4,1,1,2009,2,0,1,1500,21,2,75,1,3,8,2,0,11,4,1,2,4,170,1,2,40,1
2000,1,2,340,1,1,1,2009,3,0,1,1610,52,2,116,1,1,1,1,0,11,3,0,2,4,188,1,1,72,1
2005,1,2,0,3,1,7,2009,3,0,2,1510,46,2,65,1,3,1,1,1,14,3,0,2,1,170,2,1,72,1
2003,1,2,300,5,1,1,2009,2,0,1,1530,85,2,79,1,1,8,2,0,1,4,0,2,4,152,1,1,40,1
2007,1,2,40,5,1,1,2009,2,0,3,1590,69,2,78,1,3,1,1,0,11,4,0,2,4,163,1,1,72,2
2006,1,3,240,6,1,1,2009,2,0,1,1410,45,0,82,1,1,1,0,0,1,5,0,2,4,170,2,1,56,1
2006,1,2,300,7,1,2,2009,2,0,1,1810,28,0,61,2,1,1,0,0,1,5,0,2,4,170,2,1,64,1
2007,1,0,0,1,1,2,2009,2,2,1,1850,33,0,67,1,1,1,0,0,1,5,0,2,1,163,2,1,56,2
2000,1,0,0,1,1,2,2009,2,0,1,1400,46,0,95,1,3,1,0,0,1,6,0,2,1,178,1,1,72,1
2007,1,2,30,6,1,1,2009,3,0,1,1360,17,2,50,1,3,8,1,0,11,6,0,2,4,157,2,1,80,2
2007,2,2,350,1,1,1,2009,2,0,1,1580,34,0,107,1,3,2,0,0,1,6,0,2,4,180,1,2,64,1
2004,1,2,350,3,3,1,2009,5,2,1,1980,38,2,54,1,5,1,1,0,1,6,0,2,4,160,2,1,80,1
2006,1,0,0,6,1,2,2009,2,0,1,1070,52,0,86,1,1,1,0,0,1,7,0,2,2,183,1,1,72,1
2001,1,0,10,6,2,1,2009,2,0,1,1110,19,0,109,2,1,1,0,0,17,7,0,2,2,178,1,1,72,2
2007,2,2,180,5,1,1,2009,2,0,1,1530,41,2,68,1,1,1,1,0,5,7,0,2,1,173,1,1,56,1
2000,1,2,180,5,1,1,2009,2,0,1,1390,53,2,115,1,1,1,1,2,1,7,0,2,1,183,1,1,80,1
2006,1,2,30,2,1,2,2009,2,0,1,1430,22,2,54,1,1,1,1,0,1,7,0,2,4,163,2,1,56,1
2001,1,2,330,2,1,7,2009,2,0,1,1410,56,2,109,1,1,1,1,0,1,7,0,2,4,168,2,1,56,2
2007,1,0,100,2,1,3,2009,4,1,1,2050,46,0,109,1,5,1,0,0,1,7,0,2,5,193,1,1,80,1
2006,4,2,350,3,1,1,2009,2,2,1,1860,33,0,77,1,1,1,0,0,1,7,0,2,4,178,1,1,40,2
2008,1,2,80,3,1,1,2009,2,1,1,2020,28,2,48,1,1,1,2,0,1,7,0,2,4,170,2,1,40,1
2002,1,0,350,3,1,2,2009,2,0,3,1300,40,0,66,1,3,1,0,0,14,8,0,2,2,157,2,1,64,1
2006,1,2,300,3,1,1,2009,2,1,1,2030,63,2,100,1,1,1,2,0,1,7,0,2,4,180,1,1,40,2
2007,4,0,0,7,1,6,2009,3,0,3,1580,28,0,52,1,1,1,0,0,14,8,0,2,2,157,2,1,72,1
2000,2,2,50,5,1,1,2009,4,0,2,1420,18,2,66,1,1,1,1,0,11,8,0,2,4,173,1,1,64,2
2005,1,2,180,5,1,1,2009,2,0,1,1090,38,2,93,1,1,1,1,0,5,9,0,2,1,175,1,1,64,1
2000,1,3,350,5,1,1,2009,2,0,1,1360,37,0,100,1,3,1,0,0,1,9,0,2,4,183,1,1,64,1
2001,1,2,350,5,1,3,2009,5,0,1,1140,27,2,86,1,1,1,1,0,1,9,0,2,4,168,1,1,80,1
2008,1,0,180,3,1,1,2009,2,1,1,2480,46,0,93,1,1,1,0,0,5,10,0,2,1,170,1,1,56,1
2003,1,0,0,3,1,7,2009,2,0,1,1300,34,0,77,2,1,1,0,0,1,10,0,2,1,170,2,1,56,1
2003,1,2,0,1,1,2,2009,2,3,1,1350,29,0,70,1,1,1,0,0,1,10,0,2,1,170,1,1,56,1
2001,1,2,180,5,1,1,2009,6,0,3,1570,68,2,91,1,1,2,1,0,5,10,0,2,1,165,2,2,56,1
2008,1,2,0,2,1,10,2009,2,1,2,1610,84,0,79,1,1,1,0,0,14,10,0,2,4,170,1,1,40,1
2003,1,0,180,4,1,1,2009,2,0,1,1530,51,0,64,1,3,1,0,0,5,10,0,2,1,165,2,1,72,1
2006,1,3,20,4,1,1,2009,4,0,1,1650,76,0,79,1,1,2,0,0,11,10,0,2,4,180,1,2,64,2
2002,1,2,0,3,1,7,2009,2,0,1,1420,59,0,66,1,1,2,0,0,1,10,0,2,1,168,2,2,72,1
2006,1,2,350,5,1,2,2009,5,1,1,1650,20,2,84,1,5,8,1,0,1,11,0,2,4,173,2,2,72,1
2006,1,2,0,6,1,1,2009,2,1,1,2480,31,0,77,1,1,1,0,0,6,11,0,2,4,168,1,1,72,1
2000,1,0,0,5,1,2,2009,3,0,1,1190,27,0,70,1,1,1,0,2,17,11,0,2,1,170,2,1,72,1
2005,1,0,350,4,1,1,2009,2,0,1,1230,56,0,109,1,1,1,0,0,1,10,0,2,6,165,1,1,80,1
2007,1,3,180,4,2,1,2009,2,0,1,1630,53,0,77,1,2,1,0,0,5,11,0,2,1,168,2,1,80,1
2008,1,2,350,5,1,1,2009,2,0,1,1610,38,2,75,1,5,2,2,0,11,11,0,2,4,168,2,2,56,2
2007,1,2,260,4,1,1,2009,2,0,1,1150,20,0,48,1,5,1,0,0,11,12,0,2,4,150,2,1,72,1
2005,2,2,180,5,1,1,2009,2,1,1,1220,17,0,84,1,5,1,0,0,5,12,0,2,1,178,1,1,64,1
2008,2,2,0,5,1,1,2009,2,0,1,1120,26,0,61,1,5,1,0,0,1,12,0,2,1,163,2,1,64,2
2007,1,2,330,6,1,1,2009,2,1,1,1990,30,0,113,1,1,1,0,0,1,12,0,2,4,173,2,1,80,1
2000,1,2,280,6,1,1,2009,2,0,1,1510,16,2,77,1,1,1,2,0,1,12,0,2,4,178,1,1,80,2
2006,1,0,0,4,1,1,2009,2,0,1,1460,53,0,91,1,3,1,0,0,1,12,0,2,1,170,1,1,72,1
2007,1,0,0,2,1,3,2009,2,0,1,1670,39,0,82,1,1,1,0,0,2,12,0,2,1,170,1,2,64,1
2006,1,2,300,6,1,1,2009,2,0,1,1630,71,2,91,1,2,1,2,0,11,2,0,2,4,152,1,1,40,1
2002,1,2,90,5,1,1,2009,6,1,2,1590,50,2,122,1,3,1,1,0,11,2,0,2,4,168,1,1,64,1
